Unnamed: 0	Cluster
NAT2	1
ADA	16
CDH2	8
AKT3	5
MED6	10
NAALAD2	19
NAALADL1	12
ACOT8	12
ABI1	7
GNPDA1	13
ZBTB33	1
GS1-600G8.3	4
CDH3	16
TANK	0
EGOT	12
ACVR2B-AS1	1
SMIM27	16
C1orf68	1
DPY19L1P1	1
ZNF37BP	0
HDAC6	16
LOC100130331	4
SYCE1L	1
ARMCX4	4
CADM3-AS1	4
CLUHP3	1
NBPF10	18
KRTAP4-7	1
FAM66D	1
NDUFB2-AS1	1
JMJD7	12
HDAC5	15
PDCD6IP	8
PDCD6	16
BCL2L10	1
BCL2L11	0
SH2B3	18
CDH4	0
GNE	2
HCN4	4
INSL5	4
FRAT1	18
TROAP	17
MED16	0
PIGK	13
LINC00894	4
TIMM23	10
ERVMER34-1	16
ZNF783	16
CDH5	5
CHAF1A	17
PARP2	14
PARP3	12
CDH6	5
TOM1L1	13
HMGXB4	2
TOM1	7
SH2D3C	1
SH2D3A	5
MAMLD1	1
CST8	4
RANBP9	6
DNAJB6	5
THAP9-AS1	6
CDH7	0
SLC17A4	4
TMEM147-AS1	19
LOC100507424	19
MICA	16
SMC4	14
GJC1	1
AP1M2	5
UBA2	8
SAE1	6
ABCC5	19
ABCB6	11
DNM1L	8
CDH8	4
ABCC9	1
ABCF2	13
NR1H3	16
COX17	13
SCAMP2	16
SCAMP3	3
IL18BP	4
RWDD2B	16
CDH9	1
DPP3	13
SNUPN	10
HUWE1	13
PTPRU	15
TSPAN32	19
TSSC4	18
ATP9A	7
CDH10	1
USH1C	19
PQBP1	6
EDIL3	12
HHLA1	4
COL4A3BP	5
KCNK7	0
CDH11	1
UST	5
ARPC5	3
ARPC4	3
ARPC3	3
ARPC1B	3
ACTR3	13
ACTR2	16
TSPAN5	0
TSPAN3	16
ADAM8	19
CDH12	12
TSPAN2	1
NUBP2	16
TSFM	13
TSPAN1	16
PPIF	2
CTDSP2	6
TRIM10	4
ARPC2	16
SGK2	15
RAD50	13
KIF20A	14
PREB	7
HIPK3	13
FEM1B	2
CDH13	4
ACTR1B	13
ACTR1A	3
ARL4C	4
ARL4A	2
RASGRP1	5
DNAL4	15
ZNF263	9
LRPPRC	6
FRY	1
CDH15	15
PDIA6	16
TRAP1	13
OPTN	5
BCAP31	12
NAMPT	6
CELA3A	4
YAF2	10
ARFRP1	0
CDH16	4
TOB1	2
LINC01587	4
AKAP9	18
FAM13A	5
G3BP1	14
SUGP2	7
EBI3	16
ADGRG2	7
CDH17	19
MBNL2	10
HNRNPA3P1	1
ABI2	12
CEBPZ	9
PLXNC1	18
TRIM28	10
RASA4	0
AASS	0
PDZK1IP1	5
ATP6AP2	16
CDH18	0
FARP1	5
LPAR6	5
LPCAT3	15
WASF2	10
CHST4	4
SLC25A13	10
SLC25A15	3
ZNF197	12
SERF2	13
CDK2	0
DHRS9	18
RCL1	18
SORBS3	13
CNIH1	3
TENM1	19
RBM7	9
CDK3	4
RBM6	13
RBM5	7
LHFPL2	18
LHFPL6	0
TNK2	16
CDK4	8
TXNDC9	10
RNF41	7
ALG3	8
PRMT3	8
PSME3	10
MPHOSPH9	0
MPHOSPH10	9
ADAM10	13
CDK5	12
MPHOSPH6	16
NME6	0
DHRS2	19
CALCRL	4
NUTF2	3
MPZL2	5
TRIM13	1
PATJ	1
USPL1	2
EIF1	2
CDK6	8
TOPORS	7
FLOT1	5
DDX39A	14
PSMD14	3
SSX3	15
OLIG2	1
PRG4	0
CTDSPL	13
ANGPTL7	13
KLRG1	1
CDK7	9
GDF11	12
TRIB1	18
GPA33	1
ZNF443	10
CD96	12
PLIN3	7
MFSD10	13
STX6	18
COQ7	0
NBR2	1
RCAN2	12
MSLN	5
LRRC23	12
LRRC17	12
RASGRP2	1
HNRNPR	8
SLC35B1	3
DCAF7	7
AP3S2	4
CDK8	6
MRPS31	10
CALCOCO2	7
KCNMB2	4
GPHN	13
RABEPK	13
TIMM17B	8
SLC17A2	1
RIDA	5
POP7	9
GLYAT	1
CDK9	16
SRRM1	10
SPRY1	5
SPRY2	2
STAM2	18
HCG9	4
CNKSR1	15
ABCC4	13
CDKN1A	11
DENND4A	1
IGSF6	4
SF3B4	2
CDK2AP2	16
IRX5	6
RAMP2	4
RAMP1	19
RAMP3	13
ZMPSTE24	3
CDKN1B	9
AKAP8	7
FSTL3	7
STUB1	8
STAG1	10
NET1	9
UBE4B	13
EFS	19
PRSS16	4
CDKN1C	16
SIGMAR1	3
DSCR4	4
BET1	6
SAP18	16
SMNDC1	2
BCAS2	18
RGS19	5
LILRB2	4
EIF1B	2
CDKN2A	12
SPEG	15
SF3A1	10
TRAIP	0
DNAJA2	18
BCKDK	18
MAEA	2
APC2	12
PAK4	10
MARCH6	16
ADAR	10
CDKN2B	15
KATNB1	12
DLEU1	6
SNAPC5	7
APBB3	15
ZNF267	2
CCNO	0
CDKN2C	0
VPS26C	5
TCIRG1	15
RTN3	13
LANCL1	8
NMUR1	4
B3GALT5	4
TNIP1	7
LAMC3	16
CDKN2D	7
IKZF1	0
CRISP3	0
SMYD5	6
KLHL41	19
RRAGB	4
SIRPB1	1
AKR1A1	13
EMC8	10
RXYLT1	16
CDKN3	10
CNPY2	3
B3GNT3	15
CLEC4M	4
TLR6	0
PCGF3	18
TFG	10
PKDREJ	4
TRDN	1
TRIM22	11
ABCA7	15
ABCA8	0
WARS2	13
CDO1	0
NPM3	8
HMG20B	8
HMG20A	7
KLF2	2
MICU1	13
CACNG3	4
CACNG2	4
CITED2	18
SEMA3A	12
TUBA1B	3
IRF9	19
CDR1	1
BPNT1	4
TUBB3	10
TUBB4A	0
TUBB4B	10
BTN3A3	12
BTN2A2	15
SYCP2	6
SCML2	13
CDR2	9
CEPT1	13
CORO2B	0
MYL12B	3
NOD1	0
ANAPC10	17
PRG3	4
DLC1	2
ATP8A1	7
NDRG1	19
MYL9	4
RACK1	3
ADARB1	5
CDS1	13
PEMT	13
PIAS3	6
ST3GAL6	6
NDC80	17
CPQ	15
WFDC2	13
SPAG11B	4
MYCNOS	4
BASP1	2
CDSN	18
IFITM3	5
RAPGEF3	15
NSA2	3
YAP1	7
SPON2	5
SPON1	12
PRMT5	8
TESK2	19
CD2BP2	18
UBAC1	13
CDIPT	16
PGRMC2	18
ARIH2	0
TUBGCP3	10
SEC24B	9
CFDP1	16
CD52	19
TMEM147	3
RBM14	10
LYPLA1	8
CDC42EP2	18
IFI30	16
C1D	3
OLFM1	0
CDX1	1
TIMM17A	10
N4BP2L2	10
ZER1	19
MCRS1	6
LRRN2	4
FAM3C	13
ACAA2	0
CDX2	19
PPIE	16
VAV3	5
TOMM40	16
TAB1	1
ECI2	3
HAX1	8
GPNMB	5
BAIAP2	18
CDX4	4
TACC3	14
MERTK	19
CLEC10A	4
SLC30A9	3
PIBF1	0
PPIH	8
COG5	13
ZNHIT1	16
FST	19
TIMM44	0
CLGN	16
PFDN6	13
ZBTB18	7
HMGN4	13
TADA3	13
TRIM38	7
ATP5PD	3
UBE2E3	13
SLC25A17	19
SLC9A6	18
CEACAM5	7
EIF3M	6
HOXB13	16
NXF1	18
SEC23B	7
SEC23A	13
C1orf61	1
CAP2	12
CAP1	3
CREB3	15
LRRC41	18
VTI1B	13
CRTAP	13
SYNCRIP	8
VAT1	8
STK25	16
ENOX2	12
UNC13B	13
CARM1	10
NCOA2	18
ADARB2	1
CEBPA	11
SEMA6C	15
SEMA6B	4
SEMA4F	12
SEMA4D	10
CEBPB	9
SEMA3C	5
APPBP2	19
MYBBP1A	0
FBLN5	13
CIB2	15
CIB1	16
CEBPD	18
ZNF211	19
DDX17	7
DEAF1	7
CHERP	9
KAT5	10
HYOU1	15
IPO8	12
IPO7	10
NOP56	9
NEBL	5
CEBPE	15
PITRM1	3
ATG7	12
SSSCA1	6
RNASEH2A	17
P3H3	12
BATF	7
GLRX3	3
CEBPG	2
DCTN2	3
ANP32B	10
LAMTOR5	5
PROCR	7
PRDX4	3
ARL6IP5	3
AGR2	6
ARPC1A	8
HTATIP2	7
AGPAT1	12
AGPAT2	12
RPP30	10
RPP38	9
SPTLC1	8
SLC35A1	13
SLC19A2	9
IFI44	16
OLFM4	5
CXCL13	16
ARFGEF2	2
ARFGEF1	6
AKAP3	1
RABAC1	3
SLC34A2	12
CELP	4
DPYSL4	15
SIVA1	6
MRPL28	0
CCT7	3
CCT4	10
CCT2	6
NPC2	3
GNLY	5
TACC2	6
CENPA	17
SORBS1	0
IFITM2	13
COLEC10	4
POMT1	16
MAB21L2	13
TXNRD2	15
MTHFS	16
DRAP1	11
CENPB	7
SCGN	1
DNPH1	13
SMC2	17
PRPF8	8
ERN2	12
AHSA1	10
SLCO1B1	1
CENPC	6
USP16	6
CDC42EP3	18
SH2B2	0
PAIP1	3
PAICS	8
TBL3	0
MXD4	16
P3H4	13
ST6GALNAC2	11
PDLIM5	18
TRIM3	5
ERLIN1	10
HEXIM1	19
SPAG5	17
RBCK1	19
STAMBP	16
TGOLN2	7
CENPE	17
ARID3B	19
POLR3F	2
POLR3G	10
POLR3C	18
IVNS1ABP	18
TRIM16	7
MYL12A	16
TXNIP	19
TAF6L	4
CENPF	14
PDPN	19
POSTN	1
ATP5MG	3
RASL10A	1
GAS2L1	13
RAD51AP1	5
RGS14	15
LEFTY1	5
EXOC5	13
NPRL2	5
IGF2BP3	0
IGF2BP2	6
CAMKK2	0
SCGB1D2	5
SCGB1D1	4
PRELID3A	12
MTX2	13
YKT6	17
SPINT2	16
PMVK	13
KHDRBS3	6
KHDRBS1	10
CELF1	18
CELF2	6
CES1	19
LBX1	4
