Unnamed: 0	Cluster
NAT2	7
ADA	15
CDH2	40
AKT3	30
MED6	41
NAALAD2	22
NAALADL1	26
ACOT8	32
ABI1	2
GNPDA1	29
ZBTB33	34
GS1-600G8.3	20
CDH3	47
TANK	16
EGOT	38
ACVR2B-AS1	7
SMIM27	47
C1orf68	7
DPY19L1P1	42
ZNF37BP	28
HDAC6	47
LOC100130331	20
SYCE1L	34
ARMCX4	12
CADM3-AS1	12
CLUHP3	30
NBPF10	24
KRTAP4-7	34
FAM66D	20
NDUFB2-AS1	7
JMJD7	37
HDAC5	4
PDCD6IP	6
PDCD6	19
BCL2L10	7
BCL2L11	42
SH2B3	27
CDH4	28
GNE	11
HCN4	20
INSL5	33
FRAT1	46
TROAP	8
MED16	31
PIGK	32
LINC00894	12
TIMM23	11
ERVMER34-1	28
ZNF783	15
CDH5	16
CHAF1A	8
PARP2	44
PARP3	26
CDH6	3
TOM1L1	19
HMGXB4	11
TOM1	2
SH2D3C	36
SH2D3A	30
MAMLD1	30
CST8	20
RANBP9	24
DNAJB6	16
THAP9-AS1	8
CDH7	16
SLC17A4	12
TMEM147-AS1	22
LOC100507424	22
MICA	47
SMC4	44
GJC1	31
AP1M2	28
UBA2	40
SAE1	40
ABCC5	4
ABCB6	39
DNM1L	6
CDH8	33
ABCC9	42
ABCF2	19
NR1H3	47
COX17	49
SCAMP2	15
SCAMP3	14
IL18BP	12
RWDD2B	19
CDH9	34
DPP3	9
SNUPN	17
HUWE1	3
PTPRU	38
TSPAN32	22
TSSC4	18
ATP9A	2
CDH10	30
USH1C	46
PQBP1	25
EDIL3	26
HHLA1	12
COL4A3BP	16
KCNK7	42
CDH11	7
UST	16
ARPC5	45
ARPC4	19
ARPC3	45
ARPC1B	19
ACTR3	49
ACTR2	47
TSPAN5	28
TSPAN3	49
ADAM8	15
CDH12	38
TSPAN2	34
NUBP2	32
TSFM	9
TSPAN1	47
PPIF	10
CTDSP2	8
TRIM10	12
ARPC2	49
SGK2	48
RAD50	8
KIF20A	44
PREB	2
HIPK3	9
FEM1B	10
CDH13	33
ACTR1B	3
ACTR1A	19
ARL4C	33
ARL4A	11
RASGRP1	16
DNAL4	4
ZNF263	35
LRPPRC	25
FRY	7
CDH15	0
PDIA6	47
TRAP1	3
OPTN	28
BCAP31	32
NAMPT	13
CELA3A	30
YAF2	41
ARFRP1	28
CDH16	30
TOB1	10
LINC01587	20
AKAP9	27
FAM13A	16
G3BP1	6
SUGP2	19
EBI3	15
ADGRG2	5
CDH17	46
MBNL2	11
HNRNPA3P1	34
ABI2	28
CEBPZ	23
PLXNC1	5
TRIM28	13
RASA4	26
AASS	1
PDZK1IP1	31
ATP6AP2	49
CDH18	16
FARP1	16
LPAR6	16
LPCAT3	48
WASF2	25
CHST4	20
SLC25A13	40
SLC25A15	40
ZNF197	37
SERF2	19
CDK2	1
DHRS9	27
RCL1	18
SORBS3	19
CNIH1	43
TENM1	22
RBM7	23
CDK3	12
RBM6	9
RBM5	5
LHFPL2	31
LHFPL6	1
TNK2	28
CDK4	29
TXNDC9	25
RNF41	24
ALG3	40
PRMT3	8
PSME3	41
MPHOSPH9	1
MPHOSPH10	23
ADAM10	43
CDK5	32
MPHOSPH6	19
NME6	24
DHRS2	22
CALCRL	7
NUTF2	40
MPZL2	30
TRIM13	30
PATJ	30
USPL1	11
EIF1	35
CDK6	8
TOPORS	24
FLOT1	16
DDX39A	17
PSMD14	40
SSX3	48
OLIG2	30
PRG4	16
CTDSPL	3
ANGPTL7	1
KLRG1	30
CDK7	17
GDF11	3
TRIB1	27
GPA33	36
ZNF443	23
CD96	26
PLIN3	19
MFSD10	49
STX6	5
COQ7	16
NBR2	36
RCAN2	3
MSLN	3
LRRC23	3
LRRC17	7
RASGRP2	7
HNRNPR	6
SLC35B1	41
DCAF7	2
AP3S2	30
CDK8	24
MRPS31	11
CALCOCO2	43
KCNMB2	12
GPHN	8
RABEPK	8
TIMM17B	29
SLC17A2	7
RIDA	16
POP7	23
GLYAT	7
CDK9	15
SRRM1	11
SPRY1	16
SPRY2	11
STAM2	31
HCG9	12
CNKSR1	48
ABCC4	8
CDKN1A	39
DENND4A	42
IGSF6	33
SF3B4	11
CDK2AP2	19
IRX5	8
RAMP2	12
RAMP1	46
RAMP3	9
ZMPSTE24	19
CDKN1B	35
AKAP8	5
FSTL3	19
STUB1	6
STAG1	8
NET1	17
UBE4B	9
EFS	4
PRSS16	12
CDKN1C	15
SIGMAR1	40
DSCR4	20
BET1	8
SAP18	15
SMNDC1	11
BCAS2	18
RGS19	28
LILRB2	7
EIF1B	35
CDKN2A	3
SPEG	48
SF3A1	41
TRAIP	16
DNAJA2	18
BCKDK	27
MAEA	41
APC2	26
PAK4	13
MARCH6	28
ADAR	41
CDKN2B	32
KATNB1	37
DLEU1	8
SNAPC5	19
APBB3	48
ZNF267	10
CCNO	24
CDKN2C	1
VPS26C	16
TCIRG1	38
RTN3	29
LANCL1	6
NMUR1	20
B3GALT5	20
TNIP1	19
LAMC3	26
CDKN2D	46
IKZF1	26
CRISP3	16
SMYD5	1
KLHL41	46
RRAGB	12
SIRPB1	36
AKR1A1	19
EMC8	11
RXYLT1	19
CDKN3	21
CNPY2	45
B3GNT3	4
CLEC4M	7
TLR6	42
PCGF3	5
TFG	41
PKDREJ	33
TRDN	7
TRIM22	46
ABCA7	32
ABCA8	1
WARS2	8
CDO1	42
NPM3	40
HMG20B	29
HMG20A	2
KLF2	11
MICU1	3
CACNG3	20
CACNG2	12
CITED2	31
SEMA3A	38
TUBA1B	19
IRF9	0
CDR1	36
BPNT1	20
TUBB3	11
TUBB4A	28
TUBB4B	11
BTN3A3	32
BTN2A2	4
SYCP2	1
SCML2	9
CDR2	23
CEPT1	9
CORO2B	16
MYL12B	19
NOD1	42
ANAPC10	13
PRG3	20
DLC1	2
ATP8A1	43
NDRG1	46
MYL9	30
RACK1	14
ADARB1	28
CDS1	9
PEMT	19
PIAS3	43
ST3GAL6	8
NDC80	21
CPQ	4
WFDC2	47
SPAG11B	33
MYCNOS	20
BASP1	10
CDSN	27
IFITM3	47
RAPGEF3	4
NSA2	25
YAP1	31
SPON2	30
SPON1	3
PRMT5	6
TESK2	22
CD2BP2	18
UBAC1	3
CDIPT	49
PGRMC2	31
ARIH2	1
TUBGCP3	13
SEC24B	35
CFDP1	19
CD52	4
TMEM147	45
RBM14	17
LYPLA1	29
CDC42EP2	18
IFI30	47
C1D	40
OLFM1	16
CDX1	7
TIMM17A	11
N4BP2L2	13
ZER1	4
MCRS1	25
LRRN2	12
FAM3C	3
ACAA2	1
CDX2	0
PPIE	19
VAV3	3
TOMM40	15
TAB1	30
ECI2	40
HAX1	29
GPNMB	7
