Unnamed: 0	Cluster
NAT2	0
ADA	0
CDH2	0
AKT3	0
MED6	0
NAALAD2	0
NAALADL1	0
ACOT8	0
ABI1	0
GNPDA1	0
ZBTB33	0
GS1-600G8.3	0
CDH3	0
TANK	0
EGOT	0
ACVR2B-AS1	0
SMIM27	0
C1orf68	0
DPY19L1P1	0
ZNF37BP	0
HDAC6	0
LOC100130331	0
SYCE1L	0
ARMCX4	0
CADM3-AS1	0
CLUHP3	0
NBPF10	0
KRTAP4-7	0
FAM66D	0
NDUFB2-AS1	0
JMJD7	0
HDAC5	0
PDCD6IP	0
PDCD6	0
BCL2L10	0
BCL2L11	0
SH2B3	0
CDH4	0
GNE	0
HCN4	0
INSL5	0
FRAT1	0
TROAP	0
MED16	0
PIGK	0
LINC00894	0
TIMM23	0
ERVMER34-1	0
ZNF783	0
CDH5	0
CHAF1A	0
PARP2	0
PARP3	0
CDH6	0
TOM1L1	0
HMGXB4	0
TOM1	0
SH2D3C	0
SH2D3A	0
MAMLD1	0
CST8	0
RANBP9	0
DNAJB6	0
THAP9-AS1	0
CDH7	0
SLC17A4	0
TMEM147-AS1	0
LOC100507424	0
MICA	0
SMC4	0
GJC1	0
AP1M2	0
UBA2	0
SAE1	0
ABCC5	0
ABCB6	1
DNM1L	0
CDH8	0
ABCC9	0
ABCF2	0
NR1H3	0
COX17	0
SCAMP2	0
SCAMP3	0
IL18BP	0
RWDD2B	0
CDH9	0
DPP3	0
SNUPN	0
HUWE1	0
PTPRU	0
TSPAN32	0
TSSC4	0
ATP9A	0
CDH10	0
USH1C	0
PQBP1	0
EDIL3	0
HHLA1	0
COL4A3BP	0
KCNK7	0
CDH11	0
UST	0
ARPC5	0
ARPC4	0
ARPC3	0
ARPC1B	0
ACTR3	0
ACTR2	0
TSPAN5	0
TSPAN3	0
ADAM8	0
CDH12	0
TSPAN2	0
NUBP2	0
TSFM	0
TSPAN1	0
PPIF	0
CTDSP2	0
TRIM10	0
ARPC2	0
SGK2	0
RAD50	0
KIF20A	0
PREB	0
HIPK3	0
FEM1B	0
CDH13	0
ACTR1B	0
ACTR1A	0
ARL4C	0
ARL4A	0
RASGRP1	0
DNAL4	0
ZNF263	0
LRPPRC	0
FRY	0
CDH15	0
PDIA6	0
TRAP1	0
OPTN	0
BCAP31	0
NAMPT	0
CELA3A	0
YAF2	0
ARFRP1	0
CDH16	0
TOB1	0
LINC01587	0
AKAP9	0
FAM13A	0
G3BP1	0
SUGP2	0
EBI3	0
ADGRG2	0
CDH17	0
MBNL2	0
HNRNPA3P1	0
ABI2	0
CEBPZ	0
PLXNC1	0
TRIM28	0
RASA4	0
AASS	0
PDZK1IP1	0
ATP6AP2	0
CDH18	0
FARP1	0
LPAR6	0
LPCAT3	0
WASF2	0
CHST4	0
SLC25A13	0
SLC25A15	0
ZNF197	0
SERF2	0
CDK2	0
DHRS9	0
RCL1	0
SORBS3	0
CNIH1	0
TENM1	0
RBM7	0
CDK3	0
RBM6	0
RBM5	0
LHFPL2	0
LHFPL6	0
TNK2	0
CDK4	0
TXNDC9	0
RNF41	0
ALG3	0
PRMT3	0
PSME3	0
MPHOSPH9	0
MPHOSPH10	0
ADAM10	0
CDK5	0
